Rank,TitleLen,Age,Points,Comments
1,26,2,303,193
2,69,2,365,141
3,78,9,345,79
4,11,8,374,43
5,32,2,40,3
6,13,8,257,36
7,43,1,10,1
8,58,0.75,23,0
9,57,1,53,5
10,54,0.95,289,36
11,7,9,162,170
12,50,8,48,92
13,55,1,87,38
14,29,5,393,26
15,77,15,113,74
16,79,9,57,23
17,56,6,185,6
18,57,13,21,103
19,67,3,72,12
20,51,8,146,31
21,74,14,13,35
22,52,4,144,3
23,25,14,163,53
24,69,15,205,89
25,48,8,10,56
26,45,2,89,0
27,71,13,44,19
28,42,7,71,14
29,36,1,94,67
30,58,6,595,116
31,68,23,8,296
32,20,1,717,2
33,62,21,7,204
34,66,1,98,0
35,32,13,9,33
36,63,1,196,0
37,37,14,11,321
38,52,8,9,11
39,76,2,48,1
40,56,14,15,4
41,72,3,340,0
42,32,17,53,120
43,65,3,20,43
44,23,3,170,2
45,72,16,395,18
46,44,24,11,145
47,63,0.6833333333333333,277,4
48,75,23,304,104
49,78,11,839,97
50,71,15,36,455
51,78,7,59,26
52,36,15,76,3
53,43,9,579,48
54,17,24,7,136
55,71,0.5833333333333334,29,0
56,38,11,220,2
57,21,20,15,54
58,26,13,228,2
59,79,24,107,98
60,62,14,233,9
61,36,22,283,65
62,46,24,12,54
63,21,13,6,0
64,62,3,67,1
65,66,16,25,23
66,42,15,128,2
67,32,19,88,38
68,24,24,8,30
69,19,10,217,0
70,43,24,3,221
71,27,7,17,0
72,72,15,175,0
73,44,24,6,60
74,20,3,158,7
75,25,15,68,47
76,71,13,50,13
77,65,24,4,16
78,46,3,49,0
79,34,22,93,29
80,47,23,236,65
81,43,24,38,209
82,48,24,10,34
83,35,13,30,3
84,28,8,292,10
85,66,24,22,201
86,29,18,38,2
87,54,2,8,45
88,41,14,915,2
89,29,24,16,520
90,77,4,53,0
91,58,24,22,1
92,24,21,10,7
93,48,14,42,0
94,53,24,150,23
95,79,24,108,28
96,55,23,152,7
97,69,24,72,394
98,45,24,44,11
99,76,4,3,23
100,78,5,168,0
101,66,24,690,250
102,73,48,62,374
103,30,24,266,23
104,46,24,11,217
105,13,10,10,2
106,23,19,157,0
107,63,72,419,136
108,79,24,398,139
109,48,48,569,283
110,69,48,60,707
111,18,24,25,21
112,25,22,24,2
113,49,12,28,17
114,36,24,31,5
115,50,18,43,2
116,18,22,90,96
117,52,24,248,123
118,45,24,9,100
119,32,19,1783,3
120,61,96,31,225
121,50,19,43,2
122,18,22,90,96
123,52,24,248,123
124,45,24,9,100
125,32,19,1783,3
126,61,96,187,225
127,44,24,83,193
128,48,23,338,16
129,76,48,70,131
130,19,23,47,11
131,74,20,81,9
132,71,24,101,23
133,60,24,22,123
134,66,24,139,12
135,21,24,117,40
136,17,24,22,36
137,22,15,45,3
138,19,24,11,5
139,61,17,40,2
140,72,21,272,16
141,74,48,26,234
142,60,24,19,6
143,30,24,9,1
144,37,20,103,0
145,43,24,149,63
146,50,24,152,196
147,39,24,6,24
148,48,16,19,0
149,80,9,41,11
150,55,22,0,10
