BucketKNN,Dim,N,K,Time
BucketKNN,1,1000,100,14110
BucketKNN,1,1000,200,14115
BucketKNN,1,1000,300,19734
BucketKNN,1,1000,400,23147
BucketKNN,1,1000,500,25229
BucketKNN,1,2000,100,13397
BucketKNN,1,2000,200,13349
BucketKNN,1,2000,300,17553
BucketKNN,1,2000,400,22261
BucketKNN,1,2000,500,25795
BucketKNN,1,3000,100,13234
BucketKNN,1,3000,200,13225
BucketKNN,1,3000,300,20182
BucketKNN,1,3000,400,22572
BucketKNN,1,3000,500,26184
BucketKNN,2,1000,100,29753
BucketKNN,2,1000,200,29645
BucketKNN,2,1000,300,32372
BucketKNN,2,1000,400,29585
BucketKNN,2,1000,500,29372
BucketKNN,2,2000,100,50545
BucketKNN,2,2000,200,29723
BucketKNN,2,2000,300,27245
BucketKNN,2,2000,400,28050
BucketKNN,2,2000,500,28040
BucketKNN,2,3000,100,28606
BucketKNN,2,3000,200,36585
BucketKNN,2,3000,300,30750
BucketKNN,2,3000,400,27891
BucketKNN,2,3000,500,25812
BucketKNN,3,1000,100,51029
BucketKNN,3,1000,200,53467
BucketKNN,3,1000,300,53742
BucketKNN,3,1000,400,50059
BucketKNN,3,1000,500,50110
BucketKNN,3,2000,100,64438
BucketKNN,3,2000,200,51922
BucketKNN,3,2000,300,51810
BucketKNN,3,2000,400,51546
BucketKNN,3,2000,500,55119
BucketKNN,3,3000,100,51621
BucketKNN,3,3000,200,51299
BucketKNN,3,3000,300,52449
BucketKNN,3,3000,400,54134
BucketKNN,3,3000,500,49803
BucketKNN,4,1000,100,33318
BucketKNN,4,1000,200,34320
BucketKNN,4,1000,300,45752
BucketKNN,4,1000,400,36315
BucketKNN,4,1000,500,35087
BucketKNN,4,2000,100,36087
BucketKNN,4,2000,200,35672
BucketKNN,4,2000,300,36239
BucketKNN,4,2000,400,38351
BucketKNN,4,2000,500,34762
BucketKNN,4,3000,100,34210
BucketKNN,4,3000,200,34670
BucketKNN,4,3000,300,34394
BucketKNN,4,3000,400,38957
BucketKNN,4,3000,500,34756
