DumbKNN,Dim,N,K,Time
DumbKNN,1,1000,100,1665
DumbKNN,1,1000,200,2113
DumbKNN,1,1000,300,2139
DumbKNN,1,1000,400,2285
DumbKNN,1,1000,500,1830
DumbKNN,1,1000,600,1966
DumbKNN,1,1000,700,1702
DumbKNN,1,1000,800,1688
DumbKNN,1,1000,900,1473
DumbKNN,1,1000,1000,0
DumbKNN,1,2000,100,2782
DumbKNN,1,2000,200,3553
DumbKNN,1,2000,300,3923
DumbKNN,1,2000,400,4454
DumbKNN,1,2000,500,4728
DumbKNN,1,2000,600,4518
DumbKNN,1,2000,700,4386
DumbKNN,1,2000,800,4575
DumbKNN,1,2000,900,4264
DumbKNN,1,2000,1000,3890
DumbKNN,1,3000,100,4177
DumbKNN,1,3000,200,4507
DumbKNN,1,3000,300,5212
DumbKNN,1,3000,400,5618
DumbKNN,1,3000,500,5911
DumbKNN,1,3000,600,6335
DumbKNN,1,3000,700,6203
DumbKNN,1,3000,800,6529
DumbKNN,1,3000,900,6501
DumbKNN,1,3000,1000,6219
DumbKNN,1,4000,100,5171
DumbKNN,1,4000,200,5874
DumbKNN,1,4000,300,6470
DumbKNN,1,4000,400,7018
DumbKNN,1,4000,500,7636
DumbKNN,1,4000,600,8114
DumbKNN,1,4000,700,8423
DumbKNN,1,4000,800,8629
DumbKNN,1,4000,900,9053
DumbKNN,1,4000,1000,9206
DumbKNN,1,5000,100,6198
DumbKNN,1,5000,200,6441
DumbKNN,1,5000,300,7146
DumbKNN,1,5000,400,7549
DumbKNN,1,5000,500,8454
DumbKNN,1,5000,600,9062
DumbKNN,1,5000,700,9392
DumbKNN,1,5000,800,9896
DumbKNN,1,5000,900,10118
DumbKNN,1,5000,1000,10483
DumbKNN,1,6000,100,7537
DumbKNN,1,6000,200,8068
DumbKNN,1,6000,300,8531
DumbKNN,1,6000,400,8746
DumbKNN,1,6000,500,10228
DumbKNN,1,6000,600,10318
DumbKNN,1,6000,700,10633
DumbKNN,1,6000,800,11305
DumbKNN,1,6000,900,11338
DumbKNN,1,6000,1000,11834
DumbKNN,1,7000,100,8296
DumbKNN,1,7000,200,8814
DumbKNN,1,7000,300,9496
DumbKNN,1,7000,400,9854
DumbKNN,1,7000,500,10618
DumbKNN,1,7000,600,10970
