KDTree,Dim,N,K,Time
KDTree,1,10000,100,2319
KDTree,1,10000,200,2487
KDTree,1,10000,300,2579
KDTree,1,10000,400,2653
KDTree,1,10000,500,2687
KDTree,1,10000,600,2732
KDTree,1,10000,700,2763
KDTree,1,10000,800,2774
KDTree,1,10000,900,2792
KDTree,1,10000,1000,2803
KDTree,1,20000,100,4759
KDTree,1,20000,200,5123
KDTree,1,20000,300,5310
KDTree,1,20000,400,5460
KDTree,1,20000,500,5550
KDTree,1,20000,600,5730
KDTree,1,20000,700,5722
KDTree,1,20000,800,5776
KDTree,1,20000,900,5789
KDTree,1,20000,1000,5831
KDTree,1,30000,100,6976
KDTree,1,30000,200,7489
KDTree,1,30000,300,7819
KDTree,1,30000,400,8171
KDTree,1,30000,500,8323
KDTree,1,30000,600,8756
KDTree,1,30000,700,8327
KDTree,1,30000,800,8326
KDTree,1,30000,900,8419
KDTree,1,30000,1000,8471
KDTree,1,40000,100,9489
KDTree,1,40000,200,10259
KDTree,1,40000,300,10661
KDTree,1,40000,400,10961
KDTree,1,40000,500,11162
KDTree,1,40000,600,11430
KDTree,1,40000,700,11519
KDTree,1,40000,800,11687
KDTree,1,40000,900,11959
KDTree,1,40000,1000,12518
KDTree,1,50000,100,11542
KDTree,1,50000,200,11990
KDTree,1,50000,300,12430
KDTree,1,50000,400,12835
KDTree,1,50000,500,12974
KDTree,1,50000,600,13242
KDTree,1,50000,700,13423
KDTree,1,50000,800,13553
KDTree,1,50000,900,13794
KDTree,1,50000,1000,13799
KDTree,1,60000,100,15127
KDTree,1,60000,200,16354
KDTree,1,60000,300,16955
KDTree,1,60000,400,17489
KDTree,1,60000,500,17753
KDTree,1,60000,600,18142
KDTree,1,60000,700,18388
KDTree,1,60000,800,18636
KDTree,1,60000,900,18776
KDTree,1,60000,1000,18832
KDTree,1,70000,100,16473
KDTree,1,70000,200,17701
KDTree,1,70000,300,18423
KDTree,1,70000,400,18958
KDTree,1,70000,500,19290
KDTree,1,70000,600,19751
KDTree,1,70000,700,19986
KDTree,1,70000,800,20222
KDTree,1,70000,900,20405
KDTree,1,70000,1000,20563
KDTree,2,10000,100,1114
KDTree,2,10000,200,1520
KDTree,2,10000,300,1823
KDTree,2,10000,400,2046
KDTree,2,10000,500,2217
KDTree,2,10000,600,2402
KDTree,2,10000,700,2559
KDTree,2,10000,800,2695
KDTree,2,10000,900,2798
KDTree,2,10000,1000,2903
KDTree,2,20000,100,1736
KDTree,2,20000,200,2428
KDTree,2,20000,300,2987
KDTree,2,20000,400,3293
KDTree,2,20000,500,3601
KDTree,2,20000,600,3909
KDTree,2,20000,700,4166
KDTree,2,20000,800,4425
KDTree,2,20000,900,4648
KDTree,2,20000,1000,4792
KDTree,2,30000,100,2233
KDTree,2,30000,200,3138
KDTree,2,30000,300,3844
KDTree,2,30000,400,4419
KDTree,2,30000,500,4826
KDTree,2,30000,600,5272
KDTree,2,30000,700,5624
KDTree,2,30000,800,5951
KDTree,2,30000,900,6247
KDTree,2,30000,1000,6509
KDTree,2,40000,100,2543
KDTree,2,40000,200,3654
KDTree,2,40000,300,4446
KDTree,2,40000,400,5117
KDTree,2,40000,500,5644
KDTree,2,40000,600,6186
KDTree,2,40000,700,6634
KDTree,2,40000,800,7050
KDTree,2,40000,900,7394
KDTree,2,40000,1000,7722
KDTree,2,50000,100,2700
KDTree,2,50000,200,3884
KDTree,2,50000,300,4772
KDTree,2,50000,400,5497
KDTree,2,50000,500,6058
KDTree,2,50000,600,6618
KDTree,2,50000,700,7095
KDTree,2,50000,800,7501
KDTree,2,50000,900,7937
KDTree,2,50000,1000,8254
KDTree,2,60000,100,3176
KDTree,2,60000,200,4557
KDTree,2,60000,300,5571
KDTree,2,60000,400,6413
KDTree,2,60000,500,7094
KDTree,2,60000,600,7793
KDTree,2,60000,700,8383
KDTree,2,60000,800,8933
KDTree,2,60000,900,9380
KDTree,2,60000,1000,9781
KDTree,2,70000,100,3509
KDTree,2,70000,200,5065
KDTree,2,70000,300,6151
KDTree,2,70000,400,7122
KDTree,2,70000,500,7888
KDTree,2,70000,600,8641
KDTree,2,70000,700,9294
KDTree,2,70000,800,9912
KDTree,2,70000,900,10421
KDTree,2,70000,1000,10913
KDTree,3,10000,100,1739
KDTree,3,10000,200,2630
KDTree,3,10000,300,3263
KDTree,3,10000,400,3803
KDTree,3,10000,500,4228
KDTree,3,10000,600,4646
KDTree,3,10000,700,5000
KDTree,3,10000,800,5313
KDTree,3,10000,900,5568
KDTree,3,10000,1000,5848
KDTree,3,20000,100,2273
KDTree,3,20000,200,3381
KDTree,3,20000,300,4243
KDTree,3,20000,400,4983
KDTree,3,20000,500,5627
KDTree,3,20000,600,6269
KDTree,3,20000,700,6804
KDTree,3,20000,800,7386
KDTree,3,20000,900,7773
KDTree,3,20000,1000,8168
KDTree,3,30000,100,2675
KDTree,3,30000,200,4023
KDTree,3,30000,300,5074
KDTree,3,30000,400,6012
KDTree,3,30000,500,6801
KDTree,3,30000,600,7574
KDTree,3,30000,700,8292
KDTree,3,30000,800,9071
KDTree,3,30000,900,9708
KDTree,3,30000,1000,10112
KDTree,3,40000,100,3219
KDTree,3,40000,200,4811
KDTree,3,40000,300,6120
KDTree,3,40000,400,7323
KDTree,3,40000,500,8245
KDTree,3,40000,600,9213
KDTree,3,40000,700,10042
KDTree,3,40000,800,10843
KDTree,3,40000,900,11415
KDTree,3,40000,1000,12171
KDTree,3,50000,100,3221
KDTree,3,50000,200,4882
KDTree,3,50000,300,6232
KDTree,3,50000,400,7322
KDTree,3,50000,500,8273
KDTree,3,50000,600,9300
KDTree,3,50000,700,10096
KDTree,3,50000,800,10886
KDTree,3,50000,900,11616
KDTree,3,50000,1000,12463
KDTree,3,60000,100,3564
KDTree,3,60000,200,5489
KDTree,3,60000,300,7119
KDTree,3,60000,400,8489
KDTree,3,60000,500,9512
KDTree,3,60000,600,10556
KDTree,3,60000,700,11860
KDTree,3,60000,800,12281
